strain treatment replicate k S pi W_T T_D k_L S_L pi_L W_T_L mean_coverage
Pedobacter 0 3 0 49 9.66083921411 10.1690320512 -0.160729425483 0.0 8.39516486476e-06 1.65519057009e-06 1.7422591956e-06 52.0816326531
Pedobacter 0 4 0 77 19.4037507511 15.979907509 0.706917783733 0.0 1.31924019303e-05 3.32444258266e-06 2.7378358788e-06 54.4935064935
Pedobacter 0 5 0 29 4.62074529696 6.01840672416 -0.757578325413 0.0 4.96856696078e-06 7.91671807471e-07 1.03113299332e-06 102.379310345
Pedobacter 1 1 0 22 9.54689386029 4.5656878597 3.0226980545 0.0 3.76925769438e-06 1.63566832456e-06 7.82238822515e-07 12.7272727273
Pedobacter 1 2 1 16 6.00315365832 3.3205002616 2.19363533237 1.71329895199e-07 2.74127832319e-06 1.02851968714e-06 5.68900961829e-07 16.375
Pedobacter 1 3 46 0 0.0 0.0 nan 7.88117517916e-06 0.0 0.0 0.0 0
Pedobacter 1 4 0 46 14.1375341734 9.54643825211 1.44041054592 0.0 7.88117517916e-06 2.42218224831e-06 1.63559026526e-06 24.8260869565
Pedobacter 1 5 1 106 17.3349211233 21.9983142331 -0.728606785153 1.71329895199e-07 1.81609688911e-05 2.96999021933e-06 3.76896887212e-06 73.4150943396
Pedobacter 2 1 0 51 16.6484222147 10.5840945839 1.70546877773 0.0 8.73782465516e-06 2.85237243327e-06 1.81337181583e-06 21.6470588235
Pedobacter 2 2 0 14 5.69503001851 2.9054377289 2.57117918555 0.0 2.39861853279e-06 9.75728896228e-07 4.97788341601e-07 16.2142857143
Pedobacter 2 3 1 20 7.75093381423 4.150625327 2.39756917959 1.71329895199e-07 3.42659790398e-06 1.32796667809e-06 7.11126202287e-07 15.3
Pedobacter 2 4 1 18 6.05771936645 3.7355627943 1.72595104743 1.71329895199e-07 3.08393811359e-06 1.0378684242e-06 6.40013582058e-07 21.6111111111
Pedobacter 2 5 0 61 12.7152873349 12.6594072474 0.0145800145373 0.0 1.04511236072e-05 2.17850884652e-06 2.16893491697e-06 61.606557377
Janthinobacterium 0 1 0 86 12.7508061734 17.8476889061 -0.988658758876 0.0 1.41388185373e-05 2.09629458942e-06 2.93424691574e-06 85.8372093023
Janthinobacterium 0 2 2 72 15.8381476414 14.9422511772 0.190740385019 3.28809733426e-07 1.18371504033e-05 2.60386855196e-06 2.45657881318e-06 38.5833333333
Janthinobacterium 0 3 0 38 4.73837494351 7.88618812131 -1.38190663869 0.0 6.24738493509e-06 7.79011901024e-07 1.29652770696e-06 153.710526316
Janthinobacterium 0 4 1 45 11.6188837837 9.33890698576 0.754249030168 1.64404866713e-07 7.39821900208e-06 1.91020103981e-06 1.53536175824e-06 35.5555555556
Janthinobacterium 0 5 0 27 3.98438284382 5.60334419146 -0.981837275955 0.0 4.43893140125e-06 6.55051930372e-07 9.21217054943e-07 195.296296296
Janthinobacterium 1 1 0 80 25.925491502 16.602501308 1.71030670124 0.0 1.3152389337e-05 4.26227697485e-06 2.72953201464e-06 23.625
Janthinobacterium 1 2 1 13 5.46774078208 2.69790646255 2.72292973076 1.64404866713e-07 2.13726326727e-06 8.98923194498e-07 4.4354895238e-07 13.6153846154
Janthinobacterium 1 3 2 8 3.26153555659 1.6602501308 2.40031098674 3.28809733426e-07 1.3152389337e-06 5.36212318461e-07 2.72953201464e-07 14.875
Janthinobacterium 1 4 0 183 62.9058861213 37.9782217421 2.02263381267 0.0 3.00860906085e-05 1.03420338232e-05 6.2438044835e-06 22.5355191257
Janthinobacterium 1 5 0 30 10.3928682821 6.22593799051 1.91896689357 0.0 4.93214600139e-06 1.70863812468e-06 1.02357450549e-06 18.7333333333
Janthinobacterium 2 1 5 25 10.9767490645 5.18828165876 3.11412288403 8.22024333564e-07 4.11012166782e-06 1.80463096689e-06 8.52978754576e-07 11.96
Janthinobacterium 2 2 2 19 5.99414381993 3.94309406065 1.45894457819 3.28809733426e-07 3.12369246754e-06 9.85466415774e-07 6.48263853478e-07 23.4736842105
Janthinobacterium 2 3 0 1 0.486625636521 0.20753126635 2.08433410487 0.0 1.64404866713e-07 8.00036229113e-08 3.41191501831e-08 9.0
Janthinobacterium 2 4 2 32 11.7571532667 6.64100052321 2.20254432292 3.28809733426e-07 5.26095573481e-06 1.93293321573e-06 1.09181280586e-06 16.9375
Janthinobacterium 2 5 0 5 2.15568765077 1.03765633175 2.42735941469 0.0 8.22024333564e-07 3.54405540899e-07 1.70595750915e-07 20.4
Pseudomonas 0 1 1 176 44.1386555918 36.5255028776 0.680157954312 1.51678895778e-07 2.66954856569e-05 6.69490254127e-06 5.5401479442e-06 39.5681818182
Pseudomonas 0 2 0 104 19.2513497711 21.5832517004 -0.386177633969 0.0 1.57746051609e-05 2.9200234755e-06 3.27372378521e-06 110.057692308
Pseudomonas 0 3 3 203 43.6115962993 42.1288470691 0.129397366704 4.55036687333e-07 3.07908158429e-05 6.61495876978e-06 6.39005700382e-06 122.945812808
Pseudomonas 0 4 1 229 41.3464228341 47.5246599942 -0.445532588848 1.51678895778e-07 3.47344671331e-05 6.27137975982e-06 7.20848795013e-06 60.2838427948
Pseudomonas 0 5 3 126 24.5537978605 26.1489395601 -0.224114110313 4.55036687333e-07 1.9111540868e-05 3.72429294663e-06 3.96624227824e-06 137.928571429
Pseudomonas 1 1 0 53 20.8035080883 10.9991571166 2.60516923179 0.0 8.03898147621e-06 3.15545313514e-06 1.66834000592e-06 16.1886792453
Pseudomonas 1 2 1 48 20.1306595747 9.96150078481 2.96157158897 1.51678895778e-07 7.28058699733e-06 3.05339621557e-06 1.51094943933e-06 15.3541666667
Pseudomonas 1 3 1 27 8.1060890012 5.60334419146 1.30932551404 1.51678895778e-07 4.095330186e-06 1.22952262878e-06 8.49909059622e-07 28.9259259259
Pseudomonas 1 4 1 26 11.2861527776 5.39581292511 3.06613237623 1.51678895778e-07 3.94365129022e-06 1.71187119088e-06 8.18430946303e-07 14.2307692308
Pseudomonas 1 5 2 16 6.75684255511 3.3205002616 2.80034248662 3.03357791555e-07 2.42686233244e-06 1.0248704177e-06 5.03649813109e-07 12.875
Pseudomonas 2 1 0 17 7.4347435764 3.52803152795 3.07005460303 0.0 2.57854122822e-06 1.12769369606e-06 5.35127926429e-07 23.5294117647
Pseudomonas 2 2 0 33 12.1565815248 6.84853178956 2.24232596668 0.0 5.00540356066e-06 1.84389686211e-06 1.03877773954e-06 19.7575757576
Pseudomonas 2 3 1 23 10.0264417845 4.77321912605 3.07386960609 1.51678895778e-07 3.48861460289e-06 1.52079961845e-06 7.23996606345e-07 15.4347826087
Pseudomonas 2 4 1 61 22.0609701043 12.6594072474 2.21666027862 1.51678895778e-07 9.25241264244e-06 3.3461835852e-06 1.92016491248e-06 20.8196721311
Pseudomonas 2 5 0 4 1.78042564212 0.830125065401 2.46630065564 0.0 6.06715583111e-07 2.7005299541e-07 1.25912453277e-07 16.75
