Time	Temp_C	blank_water_1	L0S4-100_1	L0S1-100_2	L0S5-100_2	L0S1-100_3	L0S5-100_3	L0S1-100_1	L0S5-100_1	L0S2-100_2	L1S3-100_2	L0S2-100_3	L1S3-100_3	L0S2-100_1	L1S3-100_1	L0S3-100_2	L1S4-100_2	L0S3-100_3	L1S4-100_3	L0S3-100_1	L1S4-100_1	L0S4-100_2	blank_media_1	L0S4-100_3	blank_water_2
17:58:45	25.3	0.036	0.667	0.648	0.667	0.659	0.702	0.598	0.681	0.689	0.395	0.679	0.360	0.642	0.389	0.692	0.459	0.691	0.462	0.689	0.488	0.710	0.035	0.686	0.038
18:14:10	25.3	0.036	0.669	0.649	0.671	0.660	0.703	0.600	0.685	0.695	0.396	0.682	0.377	0.644	0.412	0.696	0.441	0.694	0.459	0.686	0.484	0.713	0.035	0.690	0.038
18:29:35	25.3	0.036	0.671	0.653	0.677	0.661	0.708	0.604	0.687	0.693	0.376	0.682	0.341	0.646	0.419	0.697	0.437	0.696	0.447	0.693	0.477	0.715	0.035	0.695	0.038
18:44:59	25.3	0.036	0.672	0.655	0.678	0.663	0.708	0.607	0.698	0.693	0.362	0.685	0.371	0.649	0.400	0.698	0.439	0.698	0.444	0.692	0.473	0.720	0.035	0.697	0.038
19:00:24	25.3	0.036	0.676	0.656	0.683	0.665	0.716	0.608	0.696	0.697	0.376	0.687	0.382	0.652	0.442	0.702	0.418	0.700	0.437	0.695	0.466	0.724	0.035	0.701	0.038
19:15:49	25.3	0.036	0.677	0.658	0.685	0.666	0.717	0.612	0.703	0.698	0.393	0.689	0.396	0.651	0.468	0.701	0.414	0.702	0.429	0.695	0.462	0.726	0.035	0.704	0.038
19:31:13	25.3	0.036	0.679	0.657	0.687	0.666	0.721	0.613	0.702	0.701	0.344	0.690	0.372	0.656	0.437	0.703	0.440	0.704	0.431	0.697	0.455	0.726	0.035	0.707	0.038
19:46:38	25.4	0.036	0.681	0.659	0.690	0.667	0.726	0.615	0.711	0.705	0.358	0.693	0.445	0.657	0.440	0.704	0.404	0.704	0.421	0.698	0.442	0.731	0.035	0.709	0.038
20:02:03	25.4	0.036	0.682	0.660	0.693	0.667	0.728	0.617	0.715	0.704	0.340	0.695	0.387	0.660	0.417	0.704	0.396	0.705	0.410	0.697	0.440	0.730	0.035	0.710	0.038
20:17:27	25.4	0.036	0.684	0.659	0.695	0.668	0.732	0.618	0.719	0.708	0.358	0.697	0.389	0.666	0.457	0.707	0.390	0.707	0.405	0.700	0.427	0.739	0.035	0.711	0.038
20:32:52	25.4	0.036	0.686	0.661	0.697	0.670	0.729	0.620	0.723	0.711	0.357	0.700	0.381	0.670	0.419	0.708	0.379	0.706	0.413	0.702	0.422	0.741	0.035	0.715	0.038
20:48:17	25.4	0.036	0.686	0.664	0.698	0.670	0.731	0.620	0.727	0.712	0.371	0.702	0.360	0.674	0.438	0.707	0.374	0.708	0.391	0.703	0.413	0.743	0.035	0.716	0.038
21:03:41	25.4	0.036	0.689	0.665	0.701	0.672	0.735	0.620	0.727	0.714	0.379	0.703	0.395	0.677	0.500	0.710	0.382	0.709	0.388	0.705	0.399	0.751	0.035	0.718	0.038
21:19:06	25.4	0.037	0.689	0.663	0.702	0.673	0.738	0.620	0.732	0.715	0.339	0.706	0.396	0.682	0.385	0.710	0.434	0.710	0.389	0.704	0.401	0.749	0.035	0.719	0.038
21:34:31	25.3	0.037	0.691	0.667	0.704	0.674	0.734	0.623	0.736	0.719	0.343	0.709	0.381	0.686	0.444	0.709	0.358	0.710	0.369	0.707	0.391	0.758	0.035	0.721	0.038
21:49:55	25.3	0.037	0.692	0.667	0.705	0.675	0.740	0.624	0.738	0.718	0.365	0.710	0.418	0.690	0.434	0.710	0.372	0.712	0.370	0.707	0.379	0.766	0.035	0.721	0.038
22:05:20	25.3	0.037	0.693	0.669	0.708	0.677	0.738	0.620	0.742	0.723	0.340	0.713	0.404	0.695	0.419	0.710	0.341	0.711	0.362	0.709	0.360	0.768	0.035	0.725	0.038
22:20:45	25.3	0.037	0.695	0.670	0.709	0.676	0.737	0.622	0.741	0.725	0.330	0.715	0.362	0.699	0.467	0.709	0.327	0.711	0.353	0.709	0.361	0.773	0.035	0.724	0.038
22:36:10	25.3	0.037	0.697	0.667	0.710	0.677	0.740	0.624	0.746	0.726	0.326	0.717	0.360	0.702	0.461	0.709	0.324	0.711	0.341	0.708	0.354	0.778	0.035	0.727	0.037
22:51:34	25.3	0.037	0.696	0.671	0.711	0.678	0.747	0.619	0.748	0.726	0.349	0.718	0.373	0.704	0.555	0.712	0.309	0.710	0.339	0.707	0.342	0.780	0.035	0.726	0.038
23:06:59	25.3	0.037	0.696	0.674	0.712	0.679	0.735	0.622	0.750	0.731	0.337	0.721	0.444	0.709	0.421	0.710	0.312	0.710	0.329	0.708	0.332	0.779	0.035	0.727	0.037
23:22:24	25.3	0.037	0.694	0.674	0.714	0.680	0.745	0.618	0.749	0.733	0.380	0.723	0.366	0.712	0.443	0.710	0.298	0.710	0.332	0.706	0.326	0.785	0.035	0.728	0.037
23:37:49	25.3	0.037	0.694	0.674	0.715	0.680	0.744	0.615	0.750	0.736	0.348	0.725	0.378	0.715	0.439	0.709	0.298	0.710	0.318	0.704	0.315	0.784	0.035	0.727	0.037
23:53:13	25.3	0.037	0.695	0.675	0.718	0.682	0.742	0.615	0.755	0.736	0.331	0.726	0.407	0.717	0.457	0.711	0.295	0.709	0.313	0.703	0.307	0.780	0.035	0.723	0.037
24:08:38	25.3	0.037	0.698	0.674	0.717	0.684	0.746	0.614	0.754	0.740	0.341	0.730	0.373	0.718	0.533	0.710	0.288	0.709	0.316	0.701	0.299	0.779	0.035	0.722	0.037
24:24:03	25.3	0.037	0.699	0.679	0.719	0.684	0.748	0.613	0.755	0.742	0.329	0.730	0.378	0.720	0.495	0.709	0.274	0.709	0.301	0.701	0.288	0.776	0.035	0.720	0.037
24:39:28	25.3	0.037	0.702	0.678	0.722	0.683	0.750	0.617	0.757	0.744	0.330	0.729	0.404	0.720	0.439	0.708	0.276	0.708	0.299	0.701	0.284	0.778	0.035	0.726	0.037
24:54:52	25.3	0.037	0.704	0.678	0.722	0.685	0.751	0.609	0.759	0.747	0.361	0.734	0.361	0.720	0.448	0.710	0.272	0.708	0.297	0.702	0.275	0.780	0.035	0.726	0.037
25:10:17	25.3	0.037	0.701	0.677	0.723	0.686	0.750	0.606	0.760	0.752	0.328	0.735	0.396	0.721	0.413	0.712	0.267	0.708	0.295	0.693	0.270	0.778	0.035	0.726	0.037
25:25:42	25.3	0.037	0.697	0.679	0.725	0.685	0.754	0.603	0.760	0.752	0.325	0.736	0.346	0.721	0.467	0.710	0.261	0.707	0.284	0.696	0.264	0.781	0.035	0.729	0.037
25:41:07	25.3	0.038	0.694	0.681	0.727	0.690	0.757	0.602	0.760	0.753	0.326	0.736	0.374	0.720	0.460	0.711	0.262	0.707	0.282	0.693	0.260	0.777	0.035	0.726	0.037
25:56:31	25.3	0.037	0.690	0.686	0.728	0.692	0.762	0.605	0.761	0.754	0.353	0.739	0.360	0.719	0.426	0.712	0.255	0.707	0.276	0.693	0.253	0.773	0.035	0.718	0.037
26:11:56	25.3	0.038	0.685	0.689	0.729	0.697	0.765	0.600	0.762	0.760	0.346	0.742	0.349	0.719	0.468	0.710	0.252	0.707	0.278	0.691	0.248	0.763	0.035	0.713	0.037
26:27:21	25.3	0.038	0.680	0.691	0.730	0.697	0.768	0.597	0.764	0.761	0.342	0.742	0.355	0.716	0.438	0.711	0.248	0.706	0.272	0.688	0.247	0.756	0.035	0.708	0.037
26:42:46	25.3	0.038	0.677	0.692	0.732	0.697	0.767	0.593	0.767	0.765	0.345	0.747	0.355	0.715	0.473	0.713	0.247	0.707	0.268	0.683	0.237	0.745	0.035	0.706	0.037
26:58:10	25.3	0.038	0.675	0.690	0.734	0.696	0.767	0.592	0.768	0.770	0.392	0.751	0.354	0.712	0.489	0.712	0.243	0.706	0.265	0.683	0.234	0.735	0.035	0.700	0.037
27:13:35	25.2	0.038	0.670	0.686	0.732	0.693	0.771	0.592	0.768	0.772	0.320	0.752	0.354	0.711	0.445	0.711	0.241	0.704	0.264	0.681	0.244	0.727	0.035	0.700	0.037
27:29:00	25.2	0.038	0.667	0.683	0.734	0.693	0.772	0.596	0.771	0.773	0.328	0.750	0.338	0.713	0.428	0.711	0.236	0.704	0.260	0.676	0.229	0.715	0.035	0.695	0.037
27:44:24	25.2	0.038	0.662	0.682	0.736	0.690	0.772	0.596	0.770	0.772	0.346	0.748	0.339	0.712	0.454	0.711	0.235	0.706	0.258	0.673	0.224	0.704	0.035	0.694	0.037
27:59:49	25.2	0.038	0.659	0.679	0.739	0.688	0.775	0.595	0.770	0.771	0.340	0.748	0.363	0.712	0.429	0.713	0.234	0.709	0.255	0.674	0.220	0.695	0.035	0.688	0.037
28:15:14	25.2	0.038	0.655	0.678	0.742	0.682	0.782	0.587	0.771	0.770	0.338	0.742	0.347	0.711	0.484	0.718	0.233	0.711	0.250	0.662	0.218	0.684	0.035	0.687	0.037
28:30:39	25.2	0.038	0.651	0.674	0.746	0.684	0.780	0.587	0.774	0.769	0.325	0.745	0.351	0.712	0.434	0.720	0.233	0.713	0.249	0.667	0.212	0.670	0.035	0.685	0.037
28:46:03	25.2	0.038	0.647	0.671	0.745	0.681	0.776	0.586	0.777	0.766	0.342	0.744	0.333	0.716	0.498	0.723	0.228	0.712	0.242	0.661	0.217	0.665	0.035	0.681	0.037
29:01:28	25.2	0.038	0.644	0.669	0.744	0.679	0.782	0.580	0.780	0.767	0.327	0.736	0.347	0.721	0.530	0.719	0.232	0.707	0.243	0.662	0.210	0.658	0.035	0.670	0.037
29:16:53	25.2	0.038	0.640	0.668	0.743	0.678	0.773	0.576	0.786	0.764	0.334	0.740	0.344	0.721	0.447	0.716	0.231	0.704	0.238	0.661	0.213	0.653	0.035	0.671	0.037
29:32:17	25.2	0.038	0.635	0.665	0.741	0.675	0.768	0.569	0.784	0.764	0.320	0.744	0.334	0.725	0.487	0.712	0.230	0.701	0.236	0.660	0.209	0.647	0.035	0.663	0.037
29:47:42	25.2	0.038	0.633	0.662	0.737	0.670	0.766	0.564	0.782	0.761	0.340	0.738	0.329	0.725	0.533	0.708	0.233	0.697	0.232	0.657	0.205	0.643	0.035	0.661	0.037
30:03:07	25.2	0.038	0.628	0.660	0.737	0.672	0.762	0.562	0.782	0.760	0.329	0.735	0.340	0.726	0.507	0.706	0.231	0.693	0.227	0.651	0.203	0.639	0.035	0.650	0.037
30:18:32	25.2	0.038	0.627	0.656	0.735	0.669	0.760	0.559	0.780	0.759	0.319	0.732	0.339	0.727	0.515	0.702	0.239	0.690	0.224	0.645	0.204	0.634	0.036	0.651	0.037
30:33:56	25.2	0.038	0.621	0.655	0.733	0.664	0.749	0.555	0.779	0.757	0.331	0.731	0.338	0.718	0.521	0.699	0.234	0.688	0.229	0.639	0.202	0.630	0.035	0.646	0.037
30:49:21	25.2	0.038	0.621	0.652	0.733	0.662	0.742	0.551	0.777	0.755	0.333	0.730	0.334	0.717	0.472	0.694	0.257	0.683	0.221	0.633	0.201	0.622	0.035	0.636	0.037
31:04:45	25.2	0.038	0.618	0.651	0.731	0.661	0.733	0.556	0.775	0.753	0.346	0.726	0.327	0.710	0.438	0.692	0.230	0.681	0.233	0.624	0.199	0.620	0.035	0.628	0.037
31:20:10	25.2	0.038	0.613	0.647	0.729	0.658	0.729	0.543	0.769	0.750	0.333	0.725	0.336	0.706	0.504	0.689	0.226	0.679	0.217	0.612	0.195	0.617	0.035	0.615	0.037
31:35:35	25.2	0.038	0.609	0.647	0.728	0.656	0.721	0.540	0.770	0.749	0.325	0.723	0.322	0.706	0.416	0.688	0.238	0.676	0.227	0.610	0.195	0.612	0.035	0.610	0.037
31:50:59	25.2	0.038	0.605	0.644	0.725	0.653	0.715	0.538	0.767	0.748	0.334	0.719	0.330	0.700	0.528	0.688	0.235	0.674	0.215	0.600	0.196	0.607	0.035	0.604	0.037
32:06:24	25.2	0.038	0.599	0.642	0.721	0.651	0.708	0.537	0.761	0.746	0.323	0.717	0.340	0.695	0.479	0.684	0.233	0.674	0.216	0.603	0.194	0.607	0.035	0.599	0.037
32:21:49	25.2	0.038	0.596	0.639	0.723	0.650	0.705	0.534	0.760	0.744	0.341	0.713	0.338	0.690	0.427	0.685	0.231	0.674	0.219	0.592	0.195	0.597	0.035	0.590	0.037
